Pk,Tm,Player,College,Yrs,G,MP,PTS_Total,TRB_Total,AST_Total,FG%,3P%,FT%,MPG,PPG,RPG,APG,WS,WS/48,BPM,VORP,Draft_Year,Durability_Factor,Versatility_Score,Draft_Pick_Value,Draft_Pick_x_BPM,Scoring_Efficiency,Points_Per_Min,Rebounds_Per_Min,Assists_Per_Min,WS_Per_Game,Lottery_Pick,Long_Career
28,GSW,Jordan Poole,Michigan,6,412,11350,6942,1110,1552,0.422,0.345,0.879,27.5,16.8,2.7,3.8,11.3,0.048,-1.7,0.8,2019,0.8373983739837398,6.5,0.03571428571428571,-0.06071428571428571,0.43689999999999996,0.6116299559471365,0.09779735682819383,0.13674008810572688,0.027427184466019418,0,1
29,SAS,Keldon Johnson,Kentucky,6,370,10600,5761,1992,797,0.467,0.352,0.762,28.6,15.6,5.4,2.2,16.7,0.076,-1.3,1.8,2019,0.7520325203252033,7.6000000000000005,0.034482758620689655,-0.04482758620689655,0.4505,0.5434905660377358,0.1879245283018868,0.07518867924528302,0.04513513513513513,0,1
30,MIL,Kevin Porter Jr.,USC,5,271,7410,3779,1120,1243,0.435,0.351,0.734,27.3,13.9,4.1,4.6,6.2,0.04,-1.4,1.2,2019,0.6609756097560976,8.7,0.03333333333333333,-0.04666666666666666,0.4313,0.5099865047233468,0.15114709851551958,0.16774628879892037,0.022878228782287825,0,1
1,MIN,Anthony Edwards,Georgia,5,381,13263,9097,2017,1600,0.446,0.364,0.804,34.8,23.9,5.3,4.2,24.8,0.09,1.7,12.3,2020,0.9292682926829269,9.5,1.0,1.7,0.44900000000000007,0.685893086028802,0.1520772072683405,0.12063635678202518,0.06509186351706037,1,1
2,GSW,James Wiseman,Memphis,4,148,2799,1350,830,110,0.56,0.262,0.683,18.9,9.1,5.6,0.7,4.3,0.074,-3.9,-1.4,2020,0.45121951219512196,6.3,0.5,-1.95,0.45310000000000006,0.48231511254019294,0.2965344765987853,0.039299749910682386,0.029054054054054052,1,0
4,CHI,Patrick Williams,Florida State,5,276,7478,2636,1126,404,0.452,0.392,0.769,27.1,9.6,4.1,1.5,8.4,0.054,-2.3,-0.5,2020,0.6731707317073171,5.6,0.25,-0.575,0.45970000000000005,0.3525006686279754,0.15057502005883927,0.05402514041187483,0.030434782608695653,1,1
5,CLE,Isaac Okoro,Auburn,5,334,8746,2708,930,536,0.467,0.351,0.731,26.2,8.1,2.8,1.6,16.0,0.088,-2.0,0.0,2020,0.8146341463414634,4.4,0.2,-0.4,0.447,0.3096272581751658,0.10633432426252001,0.061285158929796475,0.04790419161676647,1,1
6,ATL,Onyeka Okongwu,USC,5,307,6911,2960,2058,394,0.614,0.322,0.755,22.5,9.6,6.7,1.3,24.9,0.173,0.5,4.4,2020,0.748780487804878,8.0,0.16666666666666666,0.08333333333333333,0.5113,0.42830270583128344,0.2977861380408045,0.0570105628707857,0.08110749185667752,1,1
8,NYK,Obi Toppin,Dayton,5,362,6238,3074,1231,428,0.523,0.355,0.771,17.2,8.5,3.4,1.2,16.6,0.128,1.1,4.8,2020,0.8829268292682927,4.6,0.125,0.1375,0.48059999999999997,0.49278614940686116,0.19733889067008656,0.06861173453029817,0.04585635359116023,1,1
10,PHO,Jalen Smith,Maryland,5,271,4368,2290,1432,222,0.505,0.332,0.754,16.1,8.5,5.3,0.8,12.0,0.132,-0.2,2.0,2020,0.6609756097560976,6.1,0.1,-0.020000000000000004,0.4607,0.5242673992673993,0.32783882783882784,0.050824175824175824,0.04428044280442804,1,1
11,SAS,Devin Vassell,Florida State,5,303,8402,4280,1144,788,0.444,0.369,0.806,27.7,14.1,3.8,2.6,11.9,0.068,-0.5,3.1,2020,0.7390243902439024,6.4,0.09090909090909091,-0.045454545454545456,0.45020000000000004,0.5094025232087598,0.13615805760533206,0.0937871935253511,0.03927392739273927,1,1
12,SAC,Tyrese Haliburton,Iowa State,5,333,10998,5842,1218,2947,0.477,0.392,0.855,33.0,17.5,3.7,8.8,37.6,0.164,4.8,18.9,2020,0.8121951219512196,12.5,0.08333333333333333,0.39999999999999997,0.4808,0.5311874886342971,0.11074740861974905,0.267957810511002,0.11291291291291292,1,1
13,NOP,Kira Lewis Jr.,Alabama,4,131,1745,687,169,233,0.397,0.294,0.848,13.3,5.2,1.3,1.8,1.3,0.036,-3.5,-0.6,2020,0.39939024390243905,3.1,0.07692307692307693,-0.2692307692307693,0.4009,0.39369627507163324,0.09684813753581661,0.1335243553008596,0.009923664122137405,1,0
14,BOS,Aaron Nesmith,Vanderbilt,5,288,6177,2570,946,305,0.463,0.385,0.828,21.4,8.9,3.3,1.1,10.5,0.082,-1.9,0.2,2020,0.7024390243902439,4.4,0.07142857142857142,-0.1357142857142857,0.46830000000000005,0.4160595758458799,0.15314877772381416,0.049376720090658896,0.036458333333333336,1,1
15,ORL,Cole Anthony,UNC,5,320,7935,4015,1372,1223,0.419,0.345,0.847,24.8,12.5,4.3,3.8,11.0,0.066,-0.6,2.9,2020,0.7804878048780488,8.1,0.06666666666666667,-0.04,0.4322,0.5059861373660995,0.17290485192186517,0.15412728418399496,0.034375,0,1
16,POR,Isaiah Stewart,Washington,5,307,7542,2631,2177,407,0.507,0.345,0.733,24.6,8.6,7.1,1.3,15.4,0.098,-1.7,0.5,2020,0.748780487804878,8.4,0.0625,-0.10625,0.4648,0.34884645982498014,0.288650225404402,0.0539644656589764,0.0501628664495114,0,1
18,DAL,Josh Green,Arizona,5,291,6415,1941,777,448,0.482,0.38,0.687,22.0,6.7,2.7,1.5,9.2,0.069,-2.9,-1.5,2020,0.7097560975609756,4.2,0.05555555555555555,-0.1611111111111111,0.4617,0.3025720966484801,0.1211223694466095,0.06983632112236944,0.03161512027491409,0,1
