Pk,Tm,Player,College,Yrs,G,MP,PTS_Total,TRB_Total,AST_Total,FG%,3P%,FT%,MPG,PPG,RPG,APG,WS,WS/48,BPM,VORP,Draft_Year
12,SAS,Joshua Primo,Alabama,3,56,1068,318,127,99,.371,.300,.750,19.1,5.7,2.3,1.8,-0.3,-.011,-5.3,-0.9,2021
13,IND,Chris Duarte,Oregon,4,177,3231,1348,467,231,.406,.349,.813,18.3,7.6,2.6,1.3,1.9,.028,-3.0,-0.8,2021
14,GSW,Moses Moody,Arkansas,4,255,4229,1787,570,227,.449,.367,.775,16.6,7.0,2.2,0.9,8.5,.097,-1.2,0.8,2021
15,WAS,Corey Kispert,Gonzaga,4,292,7563,3229,822,431,.474,.382,.805,25.9,11.1,2.8,1.5,9.3,.059,-2.3,-0.6,2021
17,MEM,Trey Murphy III,Virginia,4,251,6856,3448,976,462,.454,.383,.875,27.3,13.7,3.9,1.8,18.4,.129,1.3,5.7,2021
18,OKC,Tre Mann,Florida,4,181,3856,1707,513,415,.411,.350,.788,21.3,9.4,2.8,2.3,1.9,.024,-3.3,-1.2,2021
19,NYK,Kai Jones,Texas,3,107,1081,377,259,44,.671,.231,.682,10.1,3.5,2.4,0.4,2.8,.126,-1.2,0.2,2021
20,ATL,Jalen Johnson,Duke,4,184,4335,2023,1155,470,.504,.323,.712,23.6,11.0,6.3,2.6,8.4,.093,1.0,3.3,2021
21,NYK,Keon Johnson,Tennessee,4,161,3098,1326,429,313,.379,.324,.765,19.2,8.2,2.7,1.9,-0.3,-.005,-4.2,-1.7,2021
22,LAL,Isaiah Jackson,Kentucky,4,163,2438,1170,697,116,.595,.206,.671,15.0,7.2,4.3,0.7,7.7,.151,-0.1,1.1,2021
24,HOU,Josh Christopher,Arizona State,3,152,2189,987,266,231,.451,.273,.737,14.4,6.5,1.8,1.5,0.2,.003,-3.9,-1.1,2021
25,LAC,Quentin Grimes,Houston,4,243,5945,2525,747,488,.444,.375,.763,24.5,10.4,3.1,2.0,10.8,.087,-0.3,2.5,2021
26,DEN,Bones Hyland,VCU,4,186,3174,1762,403,488,.398,.364,.848,17.1,9.5,2.2,2.6,4.3,.065,-0.9,0.9,2021
27,BRK,Cam Thomas,LSU,4,215,4980,3255,553,442,.439,.345,.860,23.2,15.1,2.6,2.1,5.5,.053,-1.8,0.3,2021
28,PHI,Jaden Springer,Tennessee,4,110,967,316,152,85,.409,.238,.773,8.8,2.9,1.4,0.8,1.4,.068,-2.7,-0.2,2021
29,PHO,Day'Ron Sharpe,UNC,4,191,2771,1237,1079,230,.550,.295,.648,14.5,6.5,5.6,1.2,8.4,.146,-0.6,1.0,2021
30,UTA,Santi Aldama,Loyola (MD),4,235,5320,2293,1226,444,.459,.345,.692,22.6,9.8,5.2,1.9,12.2,.110,0.7,3.6,2021
1,ORL,Paolo Banchero,Duke,3,198,6811,4432,1396,919,.445,.320,.730,34.4,22.4,7.1,4.6,11.1,.079,0.8,4.9,2022
2,OKC,Chet Holmgren,Gonzaga,2,114,3290,1836,905,263,.519,.372,.780,28.9,16.1,7.9,2.3,12.1,.176,3.1,4.3,2022
