Pk,Tm,Player,College,Yrs,G,MP,PTS_Total,TRB_Total,AST_Total,FG%,3P%,FT%,MPG,PPG,RPG,APG,WS,WS/48,BPM,VORP,Draft_Year,Durability_Factor,Versatility_Score,Draft_Pick_Value,Draft_Pick_x_BPM,Scoring_Efficiency,Points_Per_Min,Rebounds_Per_Min,Assists_Per_Min,WS_Per_Game,Lottery_Pick,Long_Career
11,DAL,Kiki Vandeweghe,UCLA,13,810,24521,15980,2785,1668,0.525,0.368,0.872,30.3,19.7,3.4,2.1,75.6,0.148,0.9,17.7,1980,0.7598499061913696,5.5,0.09090909090909091,0.08181818181818182,0.4969,0.6516863096937319,0.11357611842910159,0.06802332694425187,0.09333333333333332,1,1
12,NYK,Mike Woodson,Indiana,11,786,20021,10981,1838,1822,0.466,0.271,0.813,25.5,14.0,2.3,2.3,34.6,0.083,-0.3,8.5,1980,0.8713968957871396,4.6,0.08333333333333333,-0.024999999999999998,0.4227,0.5484741021926977,0.09180360621347584,0.09100444533240098,0.0440203562340967,1,1
13,GSW,Rickey Brown,Mississippi State,5,340,4487,1482,1200,119,0.464,0.0,0.667,13.2,4.4,3.5,0.4,4.7,0.051,-4.4,-2.8,1980,0.8292682926829268,3.9,0.07692307692307693,-0.3384615384615385,0.2987,0.3302874972141743,0.2674392689993314,0.0265210608424337,0.013823529411764707,1,1
14,WSB,Wes Matthews,Wisconsin,9,465,9305,3654,626,1955,0.478,0.225,0.788,20.0,7.9,1.3,4.2,11.0,0.057,-1.3,1.8,1980,0.6300813008130082,5.5,0.07142857142857142,-0.09285714285714286,0.40780000000000005,0.3926921010209565,0.06727565824825363,0.21010209564750135,0.023655913978494623,1,1
15,SAS,Reggie Johnson,Tennessee,4,305,5979,2564,1238,262,0.505,0.143,0.716,19.6,8.4,4.1,0.9,11.0,0.088,-2.4,-0.5,1980,0.9298780487804879,5.0,0.06666666666666667,-0.16,0.3813,0.42883425321960195,0.20705803646094664,0.04382003679545075,0.036065573770491806,0,0
16,KCK,Hawkeye Whitney,NC State,2,70,1048,404,146,87,0.462,0.286,0.75,15.0,5.8,2.1,1.2,1.3,0.062,-1.6,0.1,1980,0.4268292682926829,3.3,0.0625,-0.1,0.42040000000000005,0.38549618320610685,0.13931297709923665,0.08301526717557252,0.018571428571428572,0,0
17,DET,Larry Drew,Missouri,10,714,18370,8110,1265,3702,0.467,0.291,0.798,25.7,11.4,1.8,5.2,24.4,0.064,-0.9,5.0,1980,0.8707317073170732,7.0,0.058823529411764705,-0.052941176470588235,0.42969999999999997,0.44148067501360916,0.0688622754491018,0.2015242242787153,0.03417366946778711,0,1
18,ATL,Don Collins,Washington State,6,303,6134,2983,837,546,0.485,0.069,0.749,20.2,9.8,2.8,1.8,10.5,0.082,0.2,3.5,1980,0.6158536585365854,4.6,0.05555555555555555,0.011111111111111112,0.34500000000000003,0.4863058363221389,0.1364525595044017,0.08901206390609716,0.034653465346534656,0,1
19,UTA,John Duren,Georgetown,3,201,2947,712,226,411,0.435,0.12,0.75,14.7,3.5,1.1,2.0,-0.8,-0.014,-5.4,-2.5,1980,0.8170731707317073,3.1,0.05263157894736842,-0.28421052631578947,0.3405,0.24160162877502545,0.07668815744825246,0.13946386155412283,-0.003980099502487563,0,0
20,SEA,Bill Hanzlik,Notre Dame,10,748,15534,5414,2058,2058,0.434,0.213,0.781,20.8,7.2,2.8,2.8,24.7,0.076,-1.4,2.2,1980,0.9121951219512195,5.6,0.05,-0.06999999999999999,0.3803,0.34852581434273205,0.1324835843955195,0.1324835843955195,0.03302139037433155,0,1
23,DEN,Carl Nicks,Indiana State University,3,156,2579,1067,297,249,0.462,0.0,0.57,16.5,6.8,1.9,1.6,-0.4,-0.007,-4.5,-1.6,1980,0.6341463414634146,3.5,0.043478260869565216,-0.19565217391304346,0.28800000000000003,0.413726250484684,0.11516091508336565,0.09654905001938736,-0.002564102564102564,0,0
24,GSW,Larry Smith,Alcorn State,13,883,22879,5904,8125,941,0.531,0.0,0.531,25.9,6.7,9.2,1.1,46.0,0.096,-1.6,2.4,1980,0.8283302063789869,10.299999999999999,0.041666666666666664,-0.06666666666666667,0.3186,0.2580532365925084,0.3551291577429083,0.04112941999213252,0.052095130237825596,0,1
25,GSW,Jeff Ruland,Iona College,8,332,11088,5763,3378,1002,0.564,0.158,0.718,33.4,17.4,10.2,3.0,34.3,0.149,2.1,11.5,1980,0.5060975609756098,13.2,0.04,0.084,0.4169999999999999,0.5197510822510822,0.3046536796536797,0.09036796536796536,0.10331325301204819,0,1
26,CHI,Sam Worthen,Marquette,2,69,967,239,116,118,0.492,0.0,0.75,14.0,3.5,1.7,1.7,0.7,0.032,-2.0,0.0,1980,0.42073170731707316,3.4,0.038461538461538464,-0.07692307692307693,0.321,0.24715615305067218,0.11995863495346432,0.12202688728024819,0.010144927536231883,0,0
28,ATL,Craig Shelton,Georgetown,2,59,607,240,141,27,0.453,0.0,0.6,10.3,4.1,2.4,0.5,0.0,-0.001,-6.4,-0.7,1980,0.3597560975609756,2.9,0.03571428571428571,-0.22857142857142856,0.2865,0.3953871499176277,0.23228995057660626,0.044481054365733116,0.0,0,0
29,IND,Louis Orr,Syracuse,8,569,13353,5545,2117,853,0.468,0.083,0.787,23.5,9.7,3.7,1.5,25.7,0.093,-0.4,5.5,1980,0.8673780487804879,5.2,0.034482758620689655,-0.013793103448275862,0.3459,0.4152624878304501,0.15854115180109338,0.06388077585561297,0.04516695957820738,0,1
30,IND,Kenny Natt,Louisiana-Monroe,3,49,388,150,40,41,0.417,0.2,0.621,7.9,3.1,0.8,0.8,-0.2,-0.026,-5.6,-0.5,1980,0.1991869918699187,1.6,0.03333333333333333,-0.18666666666666665,0.35059999999999997,0.3865979381443299,0.10309278350515463,0.1056701030927835,-0.004081632653061225,0,0
1,DAL,Mark Aguirre,DePaul,13,923,27730,18458,4578,2871,0.484,0.312,0.741,30.0,20.0,5.0,3.1,67.8,0.117,1.5,24.4,1981,0.8658536585365854,8.1,1.0,1.5,0.4409,0.6656328885683376,0.16509195816804906,0.10353407861521817,0.07345612134344529,1,1
2,DET,Isiah Thomas,Indiana,13,979,35516,18822,3478,9061,0.452,0.29,0.759,36.3,19.2,3.6,9.3,80.7,0.109,2.6,41.6,1981,0.9183864915572233,12.9,0.5,1.3,0.4179,0.5299583286406127,0.09792769456019822,0.25512445095168373,0.08243105209397344,1,1
3,NJN,Buck Williams,Maryland,17,1307,42464,16784,13017,1646,0.549,0.167,0.664,32.5,12.8,10.0,1.3,120.1,0.136,0.0,21.7,1981,0.9375896700143472,11.3,0.3333333333333333,0.0,0.40770000000000006,0.3952524491333836,0.30654201205727205,0.03876224566691786,0.09188982402448355,1,1
4,ATL,Al Wood,UNC,6,417,9939,4902,1262,742,0.465,0.211,0.789,23.8,11.8,3.0,1.8,15.4,0.074,-1.3,1.8,1981,0.8475609756097561,4.8,0.25,-0.325,0.39580000000000004,0.4932085722909749,0.12697454472280914,0.07465539792735687,0.036930455635491605,1,1
5,SEA,Danny Vranes,Utah,7,510,10624,2613,1998,594,0.496,0.105,0.57,20.8,5.1,3.9,1.2,15.3,0.069,-1.7,0.8,1981,0.8885017421602788,5.1,0.2,-0.34,0.347,0.24595256024096385,0.18806475903614459,0.055911144578313254,0.030000000000000002,1,1
6,CHI,Orlando Woolridge,Notre Dame,13,851,24041,13623,3696,1609,0.513,0.091,0.737,28.3,16.0,4.3,1.9,53.0,0.106,0.1,12.8,1981,0.798311444652908,6.199999999999999,0.16666666666666666,0.016666666666666666,0.3666,0.5666569610249158,0.1537373653342207,0.06692733247369077,0.06227967097532315,1,1
7,KCK,Steve Johnson,Oregon State,10,626,13618,7345,3450,777,0.572,0.0,0.634,21.8,11.7,5.5,1.2,26.9,0.095,-1.7,1.1,1981,0.7634146341463415,6.7,0.14285714285714285,-0.24285714285714283,0.3494,0.5393596710236451,0.2533411661036863,0.057056836539873694,0.042971246006389775,1,1
8,SDC,Tom Chambers,Utah,16,1107,33922,20049,6703,2283,0.468,0.307,0.807,30.6,18.1,6.1,2.1,79.0,0.112,-0.6,12.0,1981,0.84375,8.2,0.125,-0.075,0.4375,0.5910323683745062,0.19760037733624197,0.06730145628205884,0.07136404697380307,1,1
9,DAL,Rolando Blackman,Kansas State,13,980,32087,17623,3278,2981,0.493,0.343,0.84,32.7,18.0,3.3,3.0,75.6,0.113,0.4,19.8,1981,0.9193245778611632,6.3,0.1111111111111111,0.044444444444444446,0.46770000000000006,0.5492255430548197,0.10215975317106617,0.09290366815221117,0.07714285714285714,1,1
10,NJN,Albert King,Maryland,9,534,12836,6470,2262,1171,0.461,0.268,0.791,24.0,12.1,4.2,2.2,16.3,0.061,-1.7,1.1,1981,0.7235772357723578,6.4,0.1,-0.17,0.4168,0.5040511062636336,0.17622312246805857,0.0912277968214397,0.03052434456928839,1,1
11,WSB,Frank Johnson,Wake Forest,10,596,12897,4937,1025,2476,0.439,0.218,0.76,21.6,8.3,1.7,4.2,17.2,0.064,-1.3,2.4,1981,0.7268292682926829,5.9,0.09090909090909091,-0.1181818181818182,0.3827,0.38280220206249516,0.07947584709622393,0.19198263161975654,0.02885906040268456,1,1
12,DET,Kelly Tripucka,Notre Dame,10,707,20959,12142,2703,2090,0.473,0.361,0.849,29.6,17.2,3.8,3.0,44.4,0.102,0.1,11.2,1981,0.8621951219512195,6.8,0.08333333333333333,0.008333333333333333,0.4658,0.5793215325158643,0.1289660766257932,0.0997184980199437,0.06280056577086279,1,1
13,UTA,Danny Schayes,Syracuse,18,1138,21975,8780,5671,1299,0.481,0.133,0.806,19.3,7.7,5.0,1.1,48.8,0.107,-2.0,-0.1,1981,0.7710027100271003,6.1,0.07692307692307693,-0.15384615384615385,0.3743,0.39954493742889646,0.25806598407281,0.05911262798634812,0.04288224956063268,1,1
14,IND,Herb Williams,Ohio State,18,1102,28484,11944,6509,1856,0.467,0.095,0.696,25.8,10.8,5.9,1.7,36.1,0.061,-0.9,7.8,1981,0.7466124661246613,7.6000000000000005,0.07142857142857142,-0.06428571428571428,0.3411,0.4193231287740486,0.22851425361606517,0.06515938772644292,0.032758620689655175,1,1
15,POR,Jeff Lamp,Virginia,6,291,3471,1495,437,269,0.47,0.222,0.841,11.9,5.1,1.5,0.9,5.2,0.072,-2.6,-0.5,1981,0.5914634146341463,2.4,0.06666666666666667,-0.17333333333333334,0.4079,0.4307116104868914,0.12590031691155287,0.07749927974647076,0.017869415807560136,0,1
16,POR,Darnell Valentine,Kansas,9,620,14395,5400,1318,3080,0.437,0.261,0.787,23.2,8.7,2.1,5.0,22.1,0.074,-0.5,5.5,1981,0.8401084010840109,7.1,0.0625,-0.03125,0.4016,0.37513025356026397,0.09155956929489406,0.2139631816602987,0.03564516129032258,0,1
17,KCK,Kevin Loder,Alabama State University,3,148,2094,875,338,174,0.461,0.261,0.695,14.1,5.9,2.3,1.2,2.4,0.055,-1.7,0.2,1981,0.6016260162601627,3.5,0.058823529411764705,-0.09999999999999999,0.40440000000000004,0.4178605539637058,0.16141356255969436,0.0830945558739255,0.016216216216216217,0,0
18,NJN,Ray Tolbert,Indiana,5,261,2789,928,609,135,0.495,0.0,0.544,10.7,3.6,2.3,0.5,2.9,0.051,-3.0,-0.7,1981,0.6365853658536585,2.8,0.05555555555555555,-0.16666666666666666,0.3019,0.3327357475797777,0.21835783434922912,0.048404446038006456,0.011111111111111112,0,1
19,LAL,Mike McGee,Michigan,9,520,9271,4968,1112,629,0.487,0.354,0.597,17.8,9.6,2.1,1.2,15.1,0.078,-1.3,1.7,1981,0.7046070460704607,3.3,0.05263157894736842,-0.06842105263157895,0.4448,0.5358645237838421,0.11994391112069895,0.06784597130838098,0.029038461538461537,0,1
20,PHO,Larry Nance,Clemson,13,920,30697,15687,7352,2393,0.546,0.145,0.755,33.4,17.1,8.0,2.6,109.6,0.171,3.6,43.5,1981,0.8630393996247655,10.6,0.05,0.18000000000000002,0.40650000000000003,0.5110271362022347,0.23950223148841907,0.07795550053751181,0.1191304347826087,0,1
21,MIL,Alton Lister,Arizona State,16,953,18965,6298,5996,914,0.512,0.111,0.597,19.9,6.6,6.3,1.0,36.6,0.093,-1.4,3.1,1981,0.7263719512195121,7.3,0.047619047619047616,-0.06666666666666665,0.3601,0.3320854205114685,0.31616134985499605,0.048194041655681516,0.038405036726128015,0,1
22,PHI,Franklin Edwards,Cleveland State University,7,296,4436,1802,300,774,0.449,0.03,0.795,15.0,6.1,1.0,2.6,3.9,0.043,-1.9,0.1,1981,0.5156794425087108,3.6,0.045454545454545456,-0.08636363636363636,0.31600000000000006,0.40622182146077546,0.06762849413886383,0.1744815148782687,0.013175675675675675,0,1
23,BOS,Charles Bradley,Wyoming,3,110,910,347,119,55,0.416,0.0,0.585,8.3,3.2,1.1,0.5,0.3,0.016,-3.4,-0.4,1981,0.44715447154471544,1.6,0.043478260869565216,-0.14782608695652172,0.26649999999999996,0.3813186813186813,0.13076923076923078,0.06043956043956044,0.002727272727272727,0,0
24,DAL,Jay Vincent,Michigan State,9,576,15556,8729,3167,1124,0.474,0.148,0.784,27.0,15.2,5.5,2.0,27.5,0.085,-1.3,2.6,1981,0.7804878048780488,7.5,0.041666666666666664,-0.05416666666666667,0.37460000000000004,0.5611339676009257,0.20358704037027514,0.07225507842633068,0.04774305555555555,0,1
25,BOS,Tracy Jackson,Notre Dame,3,129,1797,694,243,132,0.463,0.154,0.749,13.9,5.4,1.9,1.0,2.4,0.064,-1.5,0.2,1981,0.524390243902439,2.9,0.04,-0.06,0.36800000000000005,0.3861992209237618,0.1352253756260434,0.07345575959933222,0.018604651162790697,0,0
27,UTA,Howard Wood,Tennessee,1,42,342,144,65,9,0.458,0.0,0.654,8.1,3.4,1.5,0.2,0.3,0.049,-3.6,-0.1,1981,0.5121951219512195,1.7,0.037037037037037035,-0.13333333333333333,0.2944,0.42105263157894735,0.19005847953216373,0.02631578947368421,0.007142857142857143,0,0
28,SAS,Gene Banks,Duke,6,468,13074,5305,2718,1335,0.539,0.043,0.73,27.9,11.3,5.8,2.9,31.2,0.115,0.7,8.7,1981,0.9512195121951219,8.7,0.03571428571428571,0.024999999999999998,0.3597,0.4057671714853909,0.20789352914180817,0.10211106011932079,0.06666666666666667,0,1
29,KCK,Eddie Johnson,Illinois,17,1199,32604,19202,4832,2550,0.472,0.335,0.84,27.2,16.0,4.0,2.1,65.6,0.097,-0.7,11.0,1981,0.8601147776183644,6.1,0.034482758620689655,-0.02413793103448276,0.454,0.5889461415777205,0.148202674518464,0.07821126242178873,0.054712260216847365,0,1
30,SAS,Ed Rains,University of South Alabama,2,83,929,287,124,62,0.423,0.0,0.626,11.2,3.5,1.5,0.7,0.7,0.034,-3.9,-0.5,1981,0.5060975609756098,2.2,0.03333333333333333,-0.13,0.2741,0.30893433799784714,0.13347685683530677,0.06673842841765339,0.008433734939759036,0,0
1,LAL,James Worthy,UNC,12,926,30001,16320,4708,2791,0.521,0.241,0.769,32.4,17.6,5.1,3.0,81.2,0.13,1.9,29.2,1982,0.9410569105691057,8.1,1.0,1.9,0.4338,0.543981867271091,0.15692810239658678,0.09303023232558914,0.0876889848812095,1,1
2,SDC,Terry Cummings,DePaul,18,1183,33898,19460,8630,2190,0.484,0.295,0.706,28.7,16.4,7.3,1.9,91.1,0.129,0.6,22.5,1982,0.801490514905149,9.2,0.5,0.3,0.4306,0.5740751666765,0.2545872912856216,0.06460558145023305,0.07700760777683854,1,1
3,UTA,Dominique Wilkins,Georgia,15,1074,38113,26668,7169,2677,0.461,0.319,0.811,35.5,24.8,6.7,2.5,117.5,0.148,3.3,50.6,1982,0.8731707317073171,9.2,0.3333333333333333,1.0999999999999999,0.43920000000000003,0.6997087607902815,0.18809854905150475,0.07023850129876945,0.10940409683426443,1,1
4,DAL,Bill Garnett,Wyoming,4,300,5260,1638,1298,393,0.49,0.0,0.72,17.5,5.5,4.3,1.3,10.8,0.099,-0.8,1.6,1982,0.9146341463414634,5.6,0.25,-0.2,0.317,0.31140684410646385,0.2467680608365019,0.07471482889733841,0.036000000000000004,1,0
5,KCK,LaSalle Thompson,Texas,15,985,21238,7806,6689,1139,0.492,0.154,0.737,21.6,7.9,6.8,1.2,35.0,0.079,-1.5,2.7,1982,0.8008130081300813,8.0,0.2,-0.30000000000000004,0.3813,0.3675487334023919,0.3149543271494491,0.05363028533760241,0.03553299492385787,1,1
6,NYK,Trent Tucker,Minnesota,11,756,15671,6236,1520,1532,0.461,0.408,0.754,20.7,8.2,2.0,2.0,34.3,0.105,0.6,10.2,1982,0.8381374722838137,4.0,0.16666666666666666,0.09999999999999999,0.4691000000000001,0.3979324867589816,0.09699444834407504,0.09776019398889668,0.045370370370370366,1,1
7,CHI,Quintin Dailey,San Francisco,10,528,12170,7470,1307,1188,0.454,0.158,0.779,23.0,14.1,2.5,2.3,12.7,0.05,-1.9,0.3,1982,0.6439024390243903,4.8,0.14285714285714285,-0.2714285714285714,0.36810000000000004,0.6138044371405095,0.10739523418241578,0.09761709120788825,0.024053030303030302,1,1
8,IND,Clark Kellogg,Ohio State,5,260,8514,4918,2482,764,0.497,0.338,0.757,32.7,18.9,9.5,2.9,20.9,0.118,1.4,7.3,1982,0.6341463414634146,12.4,0.125,0.175,0.45940000000000003,0.577636833450787,0.29151984965938454,0.08973455485083393,0.08038461538461537,1,1
9,DET,Cliff Levingston,Wichita State,11,830,16962,5888,4307,752,0.516,0.152,0.676,20.4,7.1,5.2,0.9,44.2,0.125,-0.2,7.6,1982,0.9201773835920177,6.1000000000000005,0.1111111111111111,-0.022222222222222223,0.3864,0.3471288763117557,0.2539205282395944,0.04433439452894706,0.05325301204819277,1,1
10,ATL,Keith Edmonson,Purdue,2,87,931,522,127,56,0.448,0.0,0.719,10.7,6.0,1.5,0.6,0.4,0.022,-3.6,-0.4,1982,0.5304878048780488,2.1,0.1,-0.36000000000000004,0.2959,0.560687432867884,0.1364124597207304,0.06015037593984962,0.004597701149425287,1,0
11,POR,Fat Lever,Arizona State,11,752,23814,10433,4523,4696,0.447,0.31,0.771,31.7,13.9,6.0,6.2,61.2,0.123,3.3,32.1,1982,0.8337028824833703,12.2,0.09090909090909091,0.3,0.42460000000000003,0.43810363651633494,0.1899302931048963,0.1971949273536575,0.08138297872340426,1,1
12,CLE,John Bagley,Boston College,11,665,17120,5802,1729,3980,0.437,0.241,0.779,25.7,8.7,2.6,6.0,16.6,0.047,-0.9,4.5,1982,0.7372505543237251,8.6,0.08333333333333333,-0.075,0.39280000000000004,0.3389018691588785,0.10099299065420561,0.2324766355140187,0.024962406015037596,1,1
13,NJN,Sleepy Floyd,Georgetown,13,957,26383,12260,2494,5175,0.444,0.324,0.815,27.6,12.8,2.6,5.4,50.6,0.092,0.5,16.6,1982,0.8977485928705441,8.0,0.07692307692307693,0.038461538461538464,0.43310000000000004,0.4646931736345374,0.09453056892696055,0.19614903536368117,0.052873563218390804,1,1
14,GSW,Lester Conner,Oregon State,12,687,14970,4337,1861,2669,0.453,0.202,0.753,21.8,6.3,2.7,3.9,28.6,0.092,1.0,11.3,1982,0.698170731707317,6.6,0.07142857142857142,0.07142857142857142,0.38260000000000005,0.2897127588510354,0.12431529726118905,0.17828991315965265,0.04163027656477438,1,1
15,PHO,David Thirdkill,Bradley,5,179,1469,510,209,84,0.457,0.091,0.565,8.2,2.8,1.2,0.5,1.3,0.042,-4.9,-1.1,1982,0.43658536585365854,1.7,0.06666666666666667,-0.32666666666666666,0.3214,0.34717494894486045,0.14227365554799182,0.05718175629680054,0.007262569832402235,0,1
16,HOU,Terry Teagle,Baylor,11,687,14509,7982,1803,956,0.465,0.21,0.792,21.1,11.6,2.6,1.4,13.4,0.044,-2.9,-3.2,1982,0.761640798226164,4.0,0.0625,-0.18125,0.3957,0.5501412916121028,0.12426769591288166,0.06589013715624785,0.01950509461426492,0,1
17,KCK,Brook Steppe,Georgia Tech,5,238,2858,1297,345,280,0.469,0.31,0.82,12.0,5.4,1.4,1.2,4.6,0.078,-1.8,0.2,1982,0.5804878048780487,2.5999999999999996,0.058823529411764705,-0.10588235294117647,0.4405,0.453813855843247,0.12071378586424072,0.0979706088173548,0.019327731092436972,0,1
18,DET,Ricky Pierce,Rice University,16,969,23665,14467,2296,1826,0.493,0.322,0.875,24.4,14.9,2.4,1.9,72.2,0.146,1.1,18.6,1982,0.7385670731707317,4.3,0.05555555555555555,0.061111111111111116,0.4628,0.6113247411789563,0.09702091696598351,0.07716036340587365,0.07450980392156863,0,1
19,DEN,Rob Williams,Houston,2,153,3367,1319,330,825,0.439,0.274,0.789,22.0,8.6,2.2,5.4,2.1,0.03,-3.1,-0.9,1982,0.9329268292682927,7.6000000000000005,0.05263157894736842,-0.1631578947368421,0.40800000000000003,0.39174339174339173,0.09801009801009801,0.24502524502524503,0.013725490196078431,0,0
20,MIL,Paul Pressey,Tulsa,11,724,19659,7664,2798,3715,0.485,0.222,0.749,27.2,10.6,3.9,5.1,49.0,0.12,2.6,22.8,1982,0.802660753880266,9.0,0.05,0.13,0.4062,0.3898468894653848,0.1423266697187039,0.18897197212472658,0.06767955801104972,0,1
21,NJN,Eddie Phillips,Alabama,1,48,416,152,77,29,0.406,0.0,0.678,8.7,3.2,1.6,0.6,0.1,0.011,-4.7,-0.3,1982,0.5853658536585366,2.2,0.047619047619047616,-0.22380952380952382,0.27080000000000004,0.36538461538461536,0.18509615384615385,0.06971153846153846,0.0020833333333333333,0,0
23,BOS,Darren Tillis,Cleveland State University,2,124,1256,425,314,42,0.423,0.0,0.626,10.1,3.4,2.5,0.3,0.9,0.036,-4.4,-0.8,1982,0.7560975609756098,2.8,0.043478260869565216,-0.19130434782608696,0.2741,0.33837579617834396,0.25,0.03343949044585987,0.007258064516129033,0,0
24,SAS,Oliver Robinson,UAB,1,35,147,101,17,21,0.361,0.091,0.667,4.2,2.9,0.5,0.6,0.1,0.018,-5.0,-0.1,1982,0.4268292682926829,1.1,0.041666666666666664,-0.20833333333333331,0.28359999999999996,0.6870748299319728,0.11564625850340136,0.14285714285714285,0.002857142857142857,0,0
25,WSB,Bryan Warrick,Saint Joseph's,4,169,2379,677,218,437,0.443,0.208,0.747,14.1,4.0,1.3,2.6,1.6,0.033,-3.3,-0.8,1982,0.5152439024390244,3.9000000000000004,0.04,-0.132,0.37939999999999996,0.28457335014712065,0.09163514081546868,0.18369062631357713,0.009467455621301775,0,0
27,MIL,Fred Roberts,BYU,13,818,14703,5962,2308,977,0.502,0.325,0.796,18.0,7.3,2.8,1.2,26.2,0.086,-1.6,1.5,1982,0.7673545966228893,4.0,0.037037037037037035,-0.05925925925925926,0.4606,0.40549547711351425,0.15697476705434266,0.06644902400870571,0.03202933985330073,0,1
28,CLE,Dave Magley,Kansas,1,14,56,12,10,2,0.25,0.0,0.5,4.0,0.9,0.7,0.1,-0.1,-0.066,-5.0,-0.1,1982,0.17073170731707318,0.7999999999999999,0.03571428571428571,-0.17857142857142855,0.175,0.21428571428571427,0.17857142857142858,0.03571428571428571,-0.0071428571428571435,0,0
29,NYK,Scott Hastings,Arkansas,11,578,5985,1647,1287,284,0.441,0.292,0.811,10.4,2.8,2.2,0.5,9.8,0.079,-2.8,-1.2,1982,0.6407982261640798,2.7,0.034482758620689655,-0.09655172413793103,0.4184,0.27518796992481204,0.21503759398496242,0.047451963241436926,0.016955017301038062,0,1
1,HOU,Ralph Sampson,Virginia,9,456,13591,7039,4011,1038,0.486,0.172,0.661,29.8,15.4,8.8,2.3,20.1,0.071,-0.6,5.0,1983,0.6178861788617886,11.100000000000001,1.0,-0.6,0.37789999999999996,0.5179162681186079,0.295121771760724,0.07637407107644766,0.04407894736842106,1,1
2,IND,Steve Stipanovich,Missouri,5,403,12591,5323,3131,938,0.484,0.179,0.796,31.2,13.2,7.8,2.3,30.4,0.116,0.6,8.4,1983,0.9829268292682927,10.1,0.5,0.3,0.3932,0.42276229052497816,0.24866968469541736,0.07449765705662775,0.07543424317617865,1,1
3,HOU,Rodney McCray,Louisville,10,768,24876,9014,5087,2750,0.503,0.26,0.761,32.4,11.7,6.6,3.6,56.0,0.108,1.0,19.1,1983,0.9365853658536586,10.2,0.3333333333333333,0.3333333333333333,0.43160000000000004,0.362357292169159,0.20449429168676636,0.11054831966554109,0.07291666666666667,1,1
