Pk,Tm,Player,College,Yrs,G,MP,PTS_Total,TRB_Total,AST_Total,FG%,3P%,FT%,MPG,PPG,RPG,APG,WS,WS/48,BPM,VORP,Draft_Year
55,NYK,Marc Iavaroni,Virginia,7.0,531.0,8371.0,2328.0,1725.0,514.0,0.459,0.0,0.71,15.8,4.4,3.2,1.0,8.0,0.046,-3.6,-3.4,1978
56,GSW,Steve Neff,Southern Nazarene University,,,,,,,,,,,,,,,,,,1978
57,CLE,Kenny Higgs,LSU,3.0,216.0,4435.0,1470.0,391.0,944.0,0.441,,0.804,20.5,6.8,1.8,4.4,4.6,0.05,-2.5,-0.6,1978
58,WSB,Rick Apke,Creighton,,,,,,,,,,,,,,,,,,1978
59,MIL,Pat Cummings,Cincinnati,12.0,683.0,14516.0,6529.0,3825.0,807.0,0.497,0.0,0.737,21.3,9.6,5.6,1.2,22.6,0.075,-2.5,-1.9,1978
60,LAL,Michael Cooper,New Mexico,12.0,873.0,23635.0,7729.0,2769.0,3666.0,0.469,,0.833,27.1,8.9,3.2,4.2,52.5,0.107,1.2,19.1,1978
61,SEA,Dave Baxter,Michigan,,,,,,,,,,,,,,,,,,1978
62,NJN,Dave Batton,Notre Dame,2.0,58.0,589.0,188.0,123.0,32.0,0.448,0.0,0.471,10.2,3.2,2.1,0.6,0.7,0.055,-1.9,0.0,1978
63,PHO,Joel Kramer,San Diego State,5.0,328.0,4184.0,1257.0,916.0,343.0,0.479,,0.737,12.8,3.8,2.8,1.0,9.1,0.105,-1.3,0.8,1978
64,SAS,Gerald Henderson,VCU,13.0,871.0,18856.0,7773.0,1453.0,3141.0,0.472,0.332,0.776,21.6,8.9,1.7,3.6,32.1,0.082,-0.5,7.3,1978
65,SDC,Marvin Delph,Arkansas,,,,,,,,,,,,,,,,,,1978
66,POR,Sterling Edmonds,Dartmouth College,,,,,,,,,,,,,,,,,,1978
67,HOU,Jackie Robinson,UNLV,3.0,22.0,185.0,83.0,27.0,13.0,0.463,,0.7,8.4,3.8,1.2,0.6,0.3,0.089,-2.4,0.1,1978
68,SDC,Jim Boylan,Marquette,,,,,,,,,,,,,,,,,,1978
69,HOU,Joel Thompson,Michigan,,,,,,,,,,,,,,,,,,1978
70,KCK,Geoff Crompton,UNC,5.0,82.0,495.0,99.0,139.0,28.0,0.37,,0.442,6.0,1.2,1.7,0.3,-0.1,-0.009,-4.3,-0.4,1978
71,IND,Rickey Lee,Oregon State,,,,,,,,,,,,,,,,,,1978
72,BOS,Dave Nelson,Bloomfield College,,,,,,,,,,,,,,,,,,1978
73,SDC,Larry Harris,Pitt,,,,,,,,,,,,,,,,,,1978
74,NOJ,Mel Davis,University of North Texas,,,,,,,,,,,,,,,,,,1978
75,NOJ,Jeff Covington,Youngstown State University,,,,,,,,,,,,,,,,,,1978
76,SDC,Leroy McDonald,Wake Forest,,,,,,,,,,,,,,,,,,1978
77,GSW,Derrick Jackson,Georgetown,,,,,,,,,,,,,,,,,,1978
78,CLE,Stan Rome,Clemson,,,,,,,,,,,,,,,,,,1978
79,NYK,Erving Giddings,Dayton,,,,,,,,,,,,,,,,,,1978
80,MIL,Otis Howard,Austin Peay State University,1.0,14.0,113.0,59.0,41.0,5.0,0.429,,0.478,8.1,4.2,2.9,0.4,0.2,0.064,-4.0,-0.1,1978
81,WSB,Lawrence Boston,Maryland,1.0,13.0,125.0,56.0,39.0,2.0,0.462,,0.615,9.6,4.3,3.0,0.2,0.2,0.075,-4.0,-0.1,1978
82,LAL,Harold Robertson,Lincoln University of Missouri,,,,,,,,,,,,,,,,,,1978
83,SEA,Billy Lewis,Illinois State,,,,,,,,,,,,,,,,,,1978
