Pk,Tm,Player,College,Yrs,G,MP,PTS_Total,TRB_Total,AST_Total,FG%,3P%,FT%,MPG,PPG,RPG,APG,WS,WS/48,BPM,VORP,Draft_Year,Durability_Factor,Versatility_Score,Draft_Pick_Value,Draft_Pick_x_BPM,Scoring_Efficiency,Points_Per_Min,Rebounds_Per_Min,Assists_Per_Min,WS_Per_Game,Lottery_Pick,First_Round_Pick,Long_Career
9,DAL,Rolando Blackman,Kansas State,13.0,980.0,32087.0,17623.0,3278.0,2981.0,0.493,0.343,0.84,32.7,18.0,3.3,3.0,75.6,0.113,0.4,19.8,1981,0.9193245778611632,6.3,0.1111111111111111,0.044444444444444446,0.46770000000000006,0.5492255430548197,0.10215975317106617,0.09290366815221117,0.07714285714285714,1,1,1
10,NJN,Albert King,Maryland,9.0,534.0,12836.0,6470.0,2262.0,1171.0,0.461,0.268,0.791,24.0,12.1,4.2,2.2,16.3,0.061,-1.7,1.1,1981,0.7235772357723578,6.4,0.1,-0.17,0.4168,0.5040511062636336,0.17622312246805857,0.0912277968214397,0.03052434456928839,1,1,1
11,WSB,Frank Johnson,Wake Forest,10.0,596.0,12897.0,4937.0,1025.0,2476.0,0.439,0.218,0.76,21.6,8.3,1.7,4.2,17.2,0.064,-1.3,2.4,1981,0.7268292682926829,5.9,0.09090909090909091,-0.1181818181818182,0.3827,0.38280220206249516,0.07947584709622393,0.19198263161975654,0.02885906040268456,1,1,1
12,DET,Kelly Tripucka,Notre Dame,10.0,707.0,20959.0,12142.0,2703.0,2090.0,0.473,0.361,0.849,29.6,17.2,3.8,3.0,44.4,0.102,0.1,11.2,1981,0.8621951219512195,6.8,0.08333333333333333,0.008333333333333333,0.4658,0.5793215325158643,0.1289660766257932,0.0997184980199437,0.06280056577086279,1,1,1
13,UTA,Danny Schayes,Syracuse,18.0,1138.0,21975.0,8780.0,5671.0,1299.0,0.481,0.133,0.806,19.3,7.7,5.0,1.1,48.8,0.107,-2.0,-0.1,1981,0.7710027100271003,6.1,0.07692307692307693,-0.15384615384615385,0.3743,0.39954493742889646,0.25806598407281,0.05911262798634812,0.04288224956063268,1,1,1
14,IND,Herb Williams,Ohio State,18.0,1102.0,28484.0,11944.0,6509.0,1856.0,0.467,0.095,0.696,25.8,10.8,5.9,1.7,36.1,0.061,-0.9,7.8,1981,0.7466124661246613,7.6000000000000005,0.07142857142857142,-0.06428571428571428,0.3411,0.4193231287740486,0.22851425361606517,0.06515938772644292,0.032758620689655175,1,1,1
15,POR,Jeff Lamp,Virginia,6.0,291.0,3471.0,1495.0,437.0,269.0,0.47,0.222,0.841,11.9,5.1,1.5,0.9,5.2,0.072,-2.6,-0.5,1981,0.5914634146341463,2.4,0.06666666666666667,-0.17333333333333334,0.4079,0.4307116104868914,0.12590031691155287,0.07749927974647076,0.017869415807560136,0,1,1
16,POR,Darnell Valentine,Kansas,9.0,620.0,14395.0,5400.0,1318.0,3080.0,0.437,0.261,0.787,23.2,8.7,2.1,5.0,22.1,0.074,-0.5,5.5,1981,0.8401084010840109,7.1,0.0625,-0.03125,0.4016,0.37513025356026397,0.09155956929489406,0.2139631816602987,0.03564516129032258,0,1,1
17,KCK,Kevin Loder,Alabama State University,3.0,148.0,2094.0,875.0,338.0,174.0,0.461,0.261,0.695,14.1,5.9,2.3,1.2,2.4,0.055,-1.7,0.2,1981,0.6016260162601627,3.5,0.058823529411764705,-0.09999999999999999,0.40440000000000004,0.4178605539637058,0.16141356255969436,0.0830945558739255,0.016216216216216217,0,1,0
18,NJN,Ray Tolbert,Indiana,5.0,261.0,2789.0,928.0,609.0,135.0,0.495,0.0,0.544,10.7,3.6,2.3,0.5,2.9,0.051,-3.0,-0.7,1981,0.6365853658536585,2.8,0.05555555555555555,-0.16666666666666666,0.3019,0.3327357475797777,0.21835783434922912,0.048404446038006456,0.011111111111111112,0,1,1
19,LAL,Mike McGee,Michigan,9.0,520.0,9271.0,4968.0,1112.0,629.0,0.487,0.354,0.597,17.8,9.6,2.1,1.2,15.1,0.078,-1.3,1.7,1981,0.7046070460704607,3.3,0.05263157894736842,-0.06842105263157895,0.4448,0.5358645237838421,0.11994391112069895,0.06784597130838098,0.029038461538461537,0,1,1
20,PHO,Larry Nance,Clemson,13.0,920.0,30697.0,15687.0,7352.0,2393.0,0.546,0.145,0.755,33.4,17.1,8.0,2.6,109.6,0.171,3.6,43.5,1981,0.8630393996247655,10.6,0.05,0.18000000000000002,0.40650000000000003,0.5110271362022347,0.23950223148841907,0.07795550053751181,0.1191304347826087,0,1,1
21,MIL,Alton Lister,Arizona State,16.0,953.0,18965.0,6298.0,5996.0,914.0,0.512,0.111,0.597,19.9,6.6,6.3,1.0,36.6,0.093,-1.4,3.1,1981,0.7263719512195121,7.3,0.047619047619047616,-0.06666666666666665,0.3601,0.3320854205114685,0.31616134985499605,0.048194041655681516,0.038405036726128015,0,1,1
22,PHI,Franklin Edwards,Cleveland State University,7.0,296.0,4436.0,1802.0,300.0,774.0,0.449,0.03,0.795,15.0,6.1,1.0,2.6,3.9,0.043,-1.9,0.1,1981,0.5156794425087108,3.6,0.045454545454545456,-0.08636363636363636,0.31600000000000006,0.40622182146077546,0.06762849413886383,0.1744815148782687,0.013175675675675675,0,1,1
23,BOS,Charles Bradley,Wyoming,3.0,110.0,910.0,347.0,119.0,55.0,0.416,0.0,0.585,8.3,3.2,1.1,0.5,0.3,0.016,-3.4,-0.4,1981,0.44715447154471544,1.6,0.043478260869565216,-0.14782608695652172,0.26649999999999996,0.3813186813186813,0.13076923076923078,0.06043956043956044,0.002727272727272727,0,1,0
24,DAL,Jay Vincent,Michigan State,9.0,576.0,15556.0,8729.0,3167.0,1124.0,0.474,0.148,0.784,27.0,15.2,5.5,2.0,27.5,0.085,-1.3,2.6,1981,0.7804878048780488,7.5,0.041666666666666664,-0.05416666666666667,0.37460000000000004,0.5611339676009257,0.20358704037027514,0.07225507842633068,0.04774305555555555,0,1,1
