Unnamed: 0_level_0,Unnamed: 1_level_0,Player,Round 1,Round 1,Unnamed: 5_level_0,Totals,Totals,Totals,Totals,Totals,Shooting,Shooting,Shooting,Per Game,Per Game,Per Game,Per Game,Advanced,Advanced,Advanced,Advanced,Draft_Year
67,67,LAL,Mike Hackett,Jacksonville University,,,,,,,,,,,,,,,,,,1982
68,68,PHI,Dale Solomon,Virginia Tech,,,,,,,,,,,,,,,,,,1982
69,69,BOS,Perry Moss,Northeastern University,2,136,1710,536,210,198,.415,.174,.722,12.6,3.9,1.5,1.5,0.9,.025,-2.6,-0.3,1982
Rk,Pk,Tm,Player,College,Yrs,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MP,PTS,TRB,AST,WS,WS/48,BPM,VORP,1982
70,70,CLE,Reggie Hannah,University of South Alabama,,,,,,,,,,,,,,,,,,1982
71,71,SDC,Darius Clemons,Loyola Chicago,,,,,,,,,,,,,,,,,,1982
72,72,UTA,Mark Eaton,UCLA,11,875,25169,5216,6939,840,.458,.000,.649,28.8,6.0,7.9,1.0,44.8,.085,-0.1,11.8,1982
73,73,DAL,Rudy Woods,Texas A&M,,,,,,,,,,,,,,,,,,1982
74,74,KCK,Mike Sanders,UCLA,11,648,12391,5162,1927,880,.482,.221,.769,19.1,8.0,3.0,1.4,17.9,.069,-2.3,-0.9,1982
75,75,NYK,Norm Anchrum,UAB,,,,,,,,,,,,,,,,,,1982
76,76,CHI,Chuck Aleksinas,UConn,1,74,1114,377,270,36,.478,.000,.733,15.1,5.1,3.6,0.5,0.4,.019,-5.6,-1.0,1982
77,77,IND,Jeff Jones,Virginia,,,,,,,,,,,,,,,,,,1982
78,78,DET,Walker Russell,Western Michigan,6,155,1767,464,187,350,.393,.158,.800,11.4,3.0,1.2,2.3,-0.7,-.020,-4.3,-1.1,1982
79,79,POR,Eric Smith,Georgetown,,,,,,,,,,,,,,,,,,1982
80,80,NJN,James Griffin,Illinois,,,,,,,,,,,,,,,,,,1982
81,81,WSB,Dino Gregory,Cal State Long Beach,,,,,,,,,,,,,,,,,,1982
82,82,NJN,Tony Brown,Arkansas,7,360,6006,2163,766,563,.437,.259,.719,16.7,6.0,2.1,1.6,4.9,.039,-2.8,-1.2,1982
83,83,GSW,Ken Stancell,VCU,,,,,,,,,,,,,,,,,,1982
84,84,DEN,Alford Turner,Louisiana,,,,,,,,,,,,,,,,,,1982
85,85,HOU,Andre Gaddy,George Mason,,,,,,,,,,,,,,,,,,1982
86,86,PHO,Rory White,University of South Alabama,5,324,5410,2387,749,232,.506,.077,.681,16.7,7.4,2.3,0.7,6.5,.058,-2.6,-0.9,1982
87,87,SAS,Tony Grier,South Florida,,,,,,,,,,,,,,,,,,1982
88,88,SEA,Ken Owens,Idaho,,,,,,,,,,,,,,,,,,1982
89,89,MIL,Jerry Beck,Middle Tennessee,,,,,,,,,,,,,,,,,,1982
90,90,LAL,Craig McCormick,Western Kentucky,,,,,,,,,,,,,,,,,,1982
91,91,PHI,Bruce Atkins,Duquesne,,,,,,,,,,,,,,,,,,1982
92,92,BOS,Greg Stewart,Tulsa,,,,,,,,,,,,,,,,,,1982
Rk,Pk,Tm,Player,College,Yrs,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MP,PTS,TRB,AST,WS,WS/48,BPM,VORP,1982
93,93,CLE,Terry White,Texas-El Paso,,,,,,,,,,,,,,,,,,1982
94,94,SDC,Gary Carter,Tennessee,,,,,,,,,,,,,,,,,,1982
95,95,UTA,Mike McKay,UConn,,,,,,,,,,,,,,,,,,1982
96,96,DAL,Kenny Arnold,Iowa,,,,,,,,,,,,,,,,,,1982
97,97,KCK,Kenny Simpson,Grambling State University,,,,,,,,,,,,,,,,,,1982
98,98,NYK,Aaron Howard,Villanova,,,,,,,,,,,,,,,,,,1982
99,99,CHI,Rubin Jackson,Oklahoma City University,,,,,,,,,,,,,,,,,,1982
100,100,IND,Rich DiBenedetto,University of Wisconsin-Eau Claire,,,,,,,,,,,,,,,,,,1982
101,101,DET,John Ebeling,Florida Southern College,,,,,,,,,,,,,,,,,,1982
102,102,ATL,Mark Hall,Minnesota,,,,,,,,,,,,,,,,,,1982
103,103,POR,Cherokee Rhone,Centenary (LA),,,,,,,,,,,,,,,,,,1982
104,104,WSB,Clarence Dickerson,Hawaii,,,,,,,,,,,,,,,,,,1982
105,105,NJN,Chris Giles,UAB,,,,,,,,,,,,,,,,,,1982
106,106,GSW,Albert Irving,Alcorn State,,,,,,,,,,,,,,,,,,1982
107,107,HOU,Jeff Schneider,Virginia Tech,,,,,,,,,,,,,,,,,,1982
108,108,PHO,Marvin McCrary,Missouri,,,,,,,,,,,,,,,,,,1982
109,109,DEN,Bill Duffy,Santa Clara,,,,,,,,,,,,,,,,,,1982
110,110,SAS,Clarence Swannegan,Texas Tech,,,,,,,,,,,,,,,,,,1982
111,111,SEA,Rod Camp,Southern Illinois,,,,,,,,,,,,,,,,,,1982
